# maestro2tex monte carlo -- test=dac_mc_loadreg samples=200
#@ donominal=no numruns=20 sampling=lds section=castalia_pm_25 seed=12345 temp=27 variations=all
#! vddac_noload			value(vddac_l 0)
#! vddac_full			value(vddac_l VAR(\"i_load_max\"))
#! dvddac_load		0.000133	(vddac_noload - vddac_full)
#! load_reg		3.0	(dvddac_load / VAR(\"i_load_max\"))
2.14267	2.03479	0.107877	1078.77
2.17022	2.05681	0.11341	1134.1
2.20313	2.07829	0.124843	1248.43
2.08155	1.97272	0.108829	1088.29
2.28227	2.18613	0.0961444	961.444
2.15513	2.03974	0.115386	1153.86
2.07724	1.96951	0.107732	1077.32
2.13517	2.0351	0.100071	1000.71
2.2295	2.11272	0.116779	1167.79
2.19043	2.06846	0.121968	1219.68
2.31138	2.1952	0.116182	1161.82
2.12324	2.00333	0.119905	1199.05
2.17548	2.06946	0.106024	1060.24
2.1345	2.01086	0.123642	1236.42
2.19926	2.08563	0.113633	1136.33
2.12572	2.00362	0.1221	1221
2.21671	2.10808	0.108635	1086.35
2.18234	2.07875	0.103591	1035.91
2.18268	2.07101	0.111668	1116.68
2.22	2.084	0.135993	1359.93
2.13321	2.02513	0.108076	1080.76
2.15142	2.03246	0.118963	1189.63
2.21886	2.11549	0.103369	1033.69
2.24734	2.13085	0.116492	1164.92
2.15762	2.06741	0.090214	902.14
2.22659	2.11577	0.110813	1108.13
2.20447	2.08599	0.118482	1184.82
2.12322	2.02175	0.101468	1014.68
2.21667	2.08137	0.135297	1352.97
2.13177	2.00664	0.125122	1251.22
2.20332	2.09813	0.10519	1051.9
2.26099	2.15013	0.110856	1108.56
2.21745	2.11408	0.103365	1033.65
2.11625	2.0162	0.100051	1000.51
2.14484	2.01352	0.13132	1313.2
2.32279	2.21454	0.108257	1082.57
2.12788	2.01173	0.116156	1161.56
2.26102	2.14278	0.118239	1182.39
2.11042	1.99667	0.113746	1137.46
2.24903	2.12329	0.12574	1257.4
2.14349	2.03793	0.105559	1055.59
2.16769	2.04417	0.123517	1235.17
2.12652	2.01188	0.114639	1146.39
2.24702	2.1448	0.102216	1022.16
2.12616	2.01826	0.107903	1079.03
2.09707	1.98985	0.107221	1072.21
2.18364	2.06965	0.113983	1139.83
2.29241	2.19513	0.0972776	972.776
2.18933	2.0636	0.12573	1257.3
2.19874	2.08027	0.118468	1184.68
2.1607	2.05784	0.102864	1028.64
2.13436	2.01587	0.118482	1184.82
2.05887	1.95159	0.107284	1072.84
2.21853	2.11058	0.107949	1079.49
2.16738	2.04462	0.122768	1227.68
2.154	2.0422	0.111796	1117.96
2.20628	2.07763	0.128655	1286.55
2.16635	2.05651	0.109843	1098.43
2.26704	2.16199	0.105051	1050.51
2.15737	2.04707	0.110296	1102.96
2.19186	2.05826	0.133595	1335.95
2.20427	2.09475	0.109525	1095.25
2.00526	1.90029	0.104973	1049.73
2.29568	2.17855	0.117125	1171.25
2.22009	2.11286	0.10723	1072.3
2.20322	2.09221	0.111011	1110.11
2.11243	2.00038	0.112053	1120.53
2.20514	2.09397	0.111166	1111.66
2.18398	2.06164	0.122338	1223.38
2.09098	1.98247	0.108511	1085.11
2.21544	2.07698	0.138458	1384.58
2.1434	2.02743	0.115969	1159.69
2.18561	2.07373	0.111879	1118.79
2.14818	2.05163	0.0965435	965.435
2.17359	2.06054	0.113051	1130.51
2.34947	2.24618	0.103286	1032.86
2.15077	2.03583	0.114941	1149.41
2.17817	2.05444	0.123722	1237.22
2.12501	2.01663	0.108386	1083.86
2.13082	2.00717	0.123654	1236.54
2.16763	2.06348	0.104155	1041.55
2.16814	2.05865	0.109485	1094.85
2.23527	2.12355	0.111723	1117.23
2.12758	2.00912	0.118457	1184.57
2.18787	2.06959	0.118274	1182.74
2.20316	2.10056	0.102598	1025.98
2.17733	2.0633	0.114034	1140.34
2.15412	2.04676	0.107359	1073.59
2.17943	2.05271	0.126719	1267.19
2.10094	1.99067	0.110268	1102.68
2.15328	2.04999	0.103294	1032.94
2.19556	2.08537	0.110195	1101.95
2.20985	2.07292	0.136929	1369.29
2.1691	2.06803	0.101069	1010.69
2.17746	2.04902	0.128436	1284.36
2.15251	2.04054	0.111967	1119.67
2.08975	1.97103	0.118716	1187.16
2.17977	2.06886	0.11091	1109.1
2.13406	2.04248	0.0915792	915.792
2.20732	2.08936	0.117967	1179.67
2.10414	2.00216	0.101976	1019.76
2.15956	2.05089	0.108671	1086.71
2.27233	2.14159	0.130746	1307.46
2.24196	2.13691	0.105051	1050.51
2.08212	1.97469	0.107428	1074.28
2.17167	2.04002	0.131653	1316.53
2.29148	2.18885	0.102623	1026.23
2.15917	2.03984	0.119337	1193.37
2.18007	2.07396	0.106102	1061.02
2.14336	2.02872	0.114641	1146.41
2.25262	2.1382	0.114418	1144.18
2.20456	2.0866	0.11796	1179.6
2.1699	2.05915	0.110747	1107.47
2.29845	2.19181	0.10664	1066.4
2.09322	1.98053	0.112684	1126.84
2.09921	1.99183	0.107376	1073.76
2.1468	2.03027	0.116533	1165.33
2.21611	2.09425	0.121858	1218.58
2.20549	2.09598	0.10951	1095.1
2.06257	1.95524	0.107332	1073.32
2.21275	2.09246	0.120291	1202.91
2.2614	2.14625	0.115146	1151.46
2.11435	1.99955	0.114806	1148.06
2.29468	2.17917	0.11551	1155.1
2.11361	2.00014	0.113476	1134.76
2.24731	2.12179	0.12552	1255.2
2.15345	2.05454	0.0989096	989.096
2.21668	2.08654	0.130141	1301.41
2.11462	2.00855	0.10607	1060.7
2.06663	1.95807	0.108555	1085.55
2.22589	2.11404	0.111845	1118.45
2.1965	2.06802	0.128476	1284.76
2.24857	2.13711	0.111467	1114.67
2.14496	2.03889	0.10607	1060.7
2.14309	2.02719	0.115902	1159.02
2.28818	2.16714	0.121047	1210.47
2.16477	2.04208	0.122697	1226.97
2.14398	2.03362	0.11036	1103.6
2.20425	2.1041	0.100154	1001.54
