# maestro2tex monte carlo -- test=mc_bias samples=200
#@ donominal=no numruns=40 sampling=lds section=castalia_pm_25 seed=12345 temp=37 variations=all
#! vbnm			VDC(\"/V_BNM\")
#! vbnc			VDC(\"/V_BNC\")
#! vbpm			VDC(\"/V_BPM\")
#! vbpc			VDC(\"/V_BPC\")
#! idd			abs(IDC(\"/POWER/SRC_VDD25/PLUS\"))
#! vov_n	0.1		(VDC(\"/V_BNC\") - VDC(\"/V_BNM\"))
#! vov_p	0.1		(VDC(\"/V_BPM\") - VDC(\"/V_BPC\"))
#! vsgpm			(VDC(\"/vdd!\") - VDC(\"/V_BPM\"))
0.586263	0.737482	1.85634	1.64078	2.17055e-05	0.151219	0.215557	0.643661
0.597682	0.743407	1.84441	1.62073	2.12846e-05	0.145725	0.223679	0.65559
0.607795	0.773152	1.81616	1.58334	2.19723e-05	0.165358	0.232821	0.683841
0.559888	0.718899	1.85228	1.63769	2.20798e-05	0.159012	0.214587	0.647718
0.632289	0.805352	1.80311	1.53051	2.87228e-05	0.173063	0.272601	0.696886
0.597627	0.772067	1.81794	1.57493	2.60887e-05	0.17444	0.243009	0.682064
0.572746	0.73396	1.86668	1.65668	2.28097e-05	0.161214	0.209997	0.63332
0.589077	0.772203	1.82939	1.57247	2.91284e-05	0.183126	0.256925	0.67061
0.619369	0.783609	1.8166	1.58902	2.33089e-05	0.16424	0.227572	0.683404
0.611588	0.774684	1.83593	1.61797	2.19944e-05	0.163096	0.217967	0.664067
0.641316	0.800008	1.79605	1.55986	2.26976e-05	0.158692	0.236192	0.703952
0.575772	0.739665	1.83463	1.61892	2.13642e-05	0.163893	0.215715	0.665368
0.607419	0.775848	1.84582	1.60092	2.57228e-05	0.168429	0.2449	0.654183
0.58616	0.739081	1.84774	1.63667	2.04092e-05	0.15292	0.211065	0.652265
0.601509	0.764455	1.82092	1.59697	2.24886e-05	0.162945	0.223953	0.679075
0.588659	0.737696	1.85924	1.65331	2.02357e-05	0.149037	0.205937	0.640756
0.61832	0.799785	1.81281	1.5684	2.72746e-05	0.181466	0.244412	0.687188
0.591867	0.764733	1.80524	1.54271	2.69749e-05	0.172866	0.262531	0.694763
0.60362	0.769742	1.83254	1.60526	2.39382e-05	0.166122	0.227284	0.667459
0.619555	0.774511	1.83006	1.61254	1.99033e-05	0.154956	0.21752	0.669938
0.580514	0.741173	1.84449	1.63114	2.29947e-05	0.160659	0.213342	0.655515
0.571371	0.738329	1.80022	1.56693	2.2247e-05	0.166958	0.23329	0.699783
0.616349	0.794536	1.81691	1.56585	2.75335e-05	0.178187	0.251056	0.683093
0.628133	0.791778	1.82506	1.60614	2.21415e-05	0.163645	0.218922	0.674935
0.590282	0.772555	1.83132	1.56752	3.06741e-05	0.182273	0.263803	0.668677
0.608426	0.778283	1.80096	1.54787	2.53342e-05	0.169857	0.253084	0.699042
0.613738	0.777556	1.83085	1.61326	2.27119e-05	0.163818	0.21759	0.669155
0.582429	0.737065	1.85717	1.62293	2.44613e-05	0.154636	0.23424	0.642834
0.626362	0.789904	1.8267	1.61332	2.14077e-05	0.163543	0.213387	0.673298
0.592202	0.767881	1.81008	1.57295	2.52337e-05	0.175679	0.237126	0.689924
0.614762	0.787787	1.82524	1.58916	2.68102e-05	0.173025	0.236078	0.674763
0.620251	0.771699	1.81527	1.58211	2.19241e-05	0.151448	0.233156	0.68473
0.618637	0.796908	1.82735	1.59202	2.65206e-05	0.178271	0.235322	0.672654
0.582275	0.744931	1.85209	1.61613	2.52058e-05	0.162656	0.235959	0.647913
0.587275	0.743104	1.83553	1.63395	2.00276e-05	0.155829	0.201574	0.664473
0.646568	0.819291	1.78465	1.53868	2.54716e-05	0.172723	0.245977	0.715345
0.576327	0.729687	1.84603	1.62981	2.07037e-05	0.153361	0.216219	0.653967
0.636264	0.806795	1.80945	1.55787	2.50302e-05	0.170531	0.251585	0.690547
0.564545	0.715576	1.85603	1.6618	1.92568e-05	0.151031	0.194223	0.643974
0.626926	0.794256	1.8032	1.56487	2.36866e-05	0.167331	0.238337	0.696796
0.597928	0.800012	1.81113	1.55921	3.09617e-05	0.202084	0.251922	0.68887
0.588333	0.730434	1.84017	1.63559	1.90338e-05	0.142101	0.204585	0.659828
0.592808	0.762726	1.83843	1.60055	2.51585e-05	0.169917	0.237886	0.661568
0.622408	0.806438	1.79726	1.54191	2.89122e-05	0.18403	0.255347	0.70274
0.577035	0.745153	1.851	1.6296	2.27135e-05	0.168117	0.221396	0.649002
0.569811	0.711354	1.87804	1.66218	2.02784e-05	0.141543	0.215864	0.62196
0.607025	0.775773	1.81984	1.57877	2.51306e-05	0.168749	0.241067	0.68016
0.653672	0.841797	1.80135	1.52951	3.2098e-05	0.188126	0.271842	0.698646
0.600485	0.766524	1.81319	1.58012	2.27577e-05	0.166039	0.233068	0.686813
