# maestro2tex monte carlo -- test=dac_mc_zout samples=200
#@ donominal=no numruns=20 sampling=lds section=castalia_pm_25 seed=12345 temp=27 variations=all
#! zout_lf			value(zout_wave 1)
#! zout_max		10.0	ymax(zout_wave)
#! f_zout_peak			xmax(zout_wave)
#! zout_1k			value(zout_wave 1000)
#! zout_100k			value(zout_wave 100000)
871.747	3370.93	100000000	871.746	871.489
900.114	3490.98	100000000	900.114	899.821
956.194	3634.47	89125100	956.194	955.905
879.561	3499.16	100000000	879.561	879.38
789.239	2564.38	112202000	789.239	789.06
909.843	3630.24	100000000	909.842	909.594
867.512	3401.75	100000000	867.512	867.626
833.469	3258.85	112202000	833.469	833.252
915.433	3424.46	100000000	915.433	915.151
937.316	3541.72	89125100	937.316	937.042
870.435	2694.62	100000000	870.435	870.212
930.915	3730.71	100000000	930.915	930.658
860.362	3282.08	100000000	860.362	860.092
942.116	3705.3	89125100	942.116	942.282
906.964	3446.4	100000000	906.964	906.669
931.444	3661.29	89125100	931.444	931.494
878.386	3282.49	100000000	878.386	878.135
858.044	3364.6	112202000	858.044	857.837
891.688	3419.89	100000000	891.688	891.425
990.714	3730.34	89125100	990.714	990.758
874.175	3409.4	100000000	874.175	873.919
940.281	3774.41	100000000	940.281	940.033
850.309	3165.58	100000000	850.309	850.082
911.572	3297.3	89125100	911.572	911.236
777.051	2968.8	112202000	777.051	776.853
892.449	3379.89	100000000	892.449	892.22
921.221	3490.93	100000000	921.221	920.927
837.77	3260.75	100000000	837.77	837.538
984.385	3716.57	89125100	984.385	984.042
954.7	3824.91	100000000	954.7	954.458
858.925	3238.17	100000000	858.925	858.674
882.987	3182.78	100000000	882.987	882.771
849.648	3116.13	100000000	849.648	849.379
832.53	3223.87	100000000	832.53	832.283
973.509	3853.78	89125100	973.509	973.562
811.23	2256.47	100000000	811.23	811.034
914.153	3608.29	100000000	914.153	913.96
915.377	3321.4	100000000	915.377	915.104
899.654	3584.67	100000000	899.654	899.801
953.924	3518.36	100000000	953.924	953.613
864.359	3380.6	100000000	864.359	864.116
946.389	3685.8	89125100	946.389	946.393
901.782	3592.43	100000000	901.782	901.518
841.869	3058.76	112202000	841.869	841.663
875.281	3373.01	100000000	875.281	875.004
866.023	3374.35	100000000	866.023	866.147
903.645	3516.98	100000000	903.645	903.377
786.756	2500.4	112202000	786.756	786.569
958.265	3751.98	100000000	958.265	957.965
923.675	3549.43	100000000	923.675	923.4
846.906	3203.59	100000000	846.906	846.623
924.784	3620.87	100000000	924.784	924.81
863.131	3441.97	100000000	863.131	862.894
870.422	3236.29	100000000	870.422	870.136
945	3707.46	89125100	945	944.699
894.52	3461.24	100000000	894.52	894.228
970.873	3797.06	89125100	970.873	970.595
881.907	3353.68	100000000	881.907	881.62
848.923	2997.76	100000000	848.923	848.709
885.684	3411.7	100000000	885.684	885.392
985.066	3852.62	89125100	985.066	984.841
882.79	3353.44	100000000	882.79	882.535
855.643	3533.04	100000000	855.643	855.739
895.707	2923.89	100000000	895.707	895.447
869.021	3265.59	100000000	869.021	868.772
891.584	3436.73	100000000	891.583	891.35
893.578	3486.69	100000000	893.578	893.539
894.473	3436.56	100000000	894.473	894.224
937.004	3569.35	89125100	937.004	936.668
873.71	3494.44	100000000	873.71	873.476
994.39	3799.24	89125100	994.39	994.068
918.275	3625.35	100000000	918.275	918.05
891.831	3375.95	100000000	891.831	891.511
810.408	3149.22	112202000	810.408	810.202
900.86	3472.42	100000000	900.86	900.568
739.079	1718.25	100000000	739.079	738.903
908.288	3535.94	100000000	908.288	908.005
946.297	3700.16	89125100	946.297	946.032
875.573	3394.48	100000000	875.573	875.298
944.87	3748.23	89125100	944.87	944.989
848.49	3218.7	100000000	848.49	848.225
881.391	3335.91	100000000	881.391	881.109
892.319	3327.1	100000000	892.319	892.067
921.549	3667.63	100000000	921.548	921.317
929.127	3587.91	100000000	929.127	928.823
847.296	3227.08	112202000	847.296	847.071
898.331	3411.04	100000000	898.331	898.021
870.66	3441.9	100000000	870.66	870.449
961.976	3744.67	89125100	961.976	961.748
887.673	3534.38	100000000	887.673	887.47
847.665	3238.93	100000000	847.665	847.381
884.664	3419.58	100000000	884.664	884.43
1001.3	3861.98	89125100	1001.3	1001.49
838.687	3169.78	100000000	838.687	838.432
964.765	3761.16	89125100	964.765	964.462
891.856	3457.71	100000000	891.856	891.549
928.983	3771.92	100000000	928.983	928.904
890.332	3400.81	100000000	890.332	890.045
779.445	3001.72	112202000	779.445	779.241
921.344	3501.79	100000000	921.344	921.039
842.519	3326.04	100000000	842.519	842.279
878.462	3411.83	100000000	878.462	878.197
965.063	3443.62	89125100	965.063	964.738
856.108	3117.46	100000000	856.108	855.862
866.056	3430.79	100000000	866.056	865.843
969.506	3755.55	89125100	969.506	969.22
820.446	2609.71	100000000	820.446	820.232
922.196	3568.44	89125100	922.196	921.922
866.583	3378.67	112202000	866.583	866.372
907.79	3504.58	100000000	907.79	907.953
904.681	3332.73	100000000	904.681	904.451
923.728	3487.02	100000000	923.728	923.444
885.087	3417.37	100000000	885.087	884.822
836.702	2644.44	100000000	836.702	836.497
899.626	3605.16	100000000	899.626	899.48
868.613	3404.6	100000000	868.613	868.758
915.756	3684.84	100000000	915.756	915.515
941.313	3564.5	100000000	941.313	941.006
879.57	3354.22	100000000	879.57	879.322
866.154	3410.42	100000000	866.154	866.079
929.913	3480.81	89125100	929.913	929.613
902.4	3247.82	100000000	902.4	902.121
905.839	3587.57	100000000	905.839	905.6
883.856	2929.69	100000000	883.856	883.595
897.705	3536.73	100000000	897.705	897.743
952.867	3546.22	100000000	952.867	952.564
828.797	3254.83	112202000	828.797	828.594
972.15	3671.32	89125100	972.15	972.169
865.688	3401.29	100000000	865.688	865.442
871.904	3473.14	100000000	871.904	872.041
891.383	3331.42	100000000	891.383	891.109
969.246	3778.5	89125100	969.246	968.959
884.713	3214.16	100000000	884.713	884.449
868.72	3468.08	100000000	868.72	868.499
907.791	3528.12	100000000	907.791	907.489
919.48	3173.02	100000000	919.48	919.222
941.033	3618.28	89125100	941.033	940.803
890.966	3544.8	100000000	890.966	890.735
831.453	3116.16	112202000	831.453	831.218
865.667	2801.01	100000000	865.667	865.413
904.473	3554.65	100000000	904.473	904.512
822.984	3265.59	112202000	822.984	822.756
948.887	3645.66	89125100	948.887	948.559
891.173	3519.7	100000000	891.173	890.925
834.748	2779.21	100000000	834.748	834.535
885.777	3172.1	100000000	885.777	885.481
929.775	3595.88	89125100	929.774	929.503
891.095	3525.27	100000000	891.095	890.845
957.802	3473.09	89125100	957.802	957.498
894.493	3489.98	100000000	894.493	894.214
795.364	2799.02	112202000	795.364	795.158
946.985	3747.31	89125100	946.985	946.712
834.772	3252.38	100000000	834.772	834.495
926.698	3640.85	89125100	926.698	926.702
893.932	3380.76	100000000	893.932	893.655
830.531	3267.8	112202000	830.531	830.318
974.306	3714.34	89125100	974.306	973.948
959.981	3583.74	89125100	959.981	959.652
860.521	3361.18	100000000	860.521	860.255
941.552	3682.08	89125100	941.552	941.626
862.578	3423.86	100000000	862.578	862.335
829.405	3072.81	112202000	829.405	829.169
932.217	3502.4	100000000	932.217	931.943
906.24	3522.15	100000000	906.24	906.36
911.616	3512.36	100000000	911.616	911.365
923.06	3591.12	100000000	923.06	922.77
871.631	3115.38	100000000	871.631	871.37
926.757	3483.99	89125100	926.757	926.428
979.893	3872.2	89125100	979.893	980.05
903.989	3461.46	100000000	903.989	903.697
852.543	3476.68	100000000	852.543	852.669
859.64	3271.25	100000000	859.64	859.405
912.781	3632.64	100000000	912.781	912.713
926.766	3483.72	89125100	926.766	926.432
851.932	3110.13	112202000	851.932	851.729
835.394	3147.02	100000000	835.394	835.132
