# maestro2tex monte carlo -- test=TiaFbTB560k samples=179
#@ numruns=40 seed=12345 variations=all sampling=lds temp=37 section=castalia_pm_25 rf=560k converged=179 excluded=21 total=200
#! gain_err	-0.002	0.002	(((value(VS(\"/V_OUT\") min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))) - value(VS(\"/V_OUT\") (- min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))))) / (2 * min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))) / VAR(\"vfs\")) - 1)
#! tue_lsb		4.0	(ymax(abs(clip((VS(\"/V_OUT\") - (VAR(\"V_CM\") + (VAR(\"vfs\") * xval(VS(\"/V_OUT\"))))) (- min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))) min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))))) / 0.002441)
#! vcm			VAR(\"V_CM\")
#! x_lim			min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))
#! x_src_lim	0.98		cross(abs((VS(\"/V_OUT\") - (value(VS(\"/V_OUT\") (- min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\"))))) + (((value(VS(\"/V_OUT\") min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))) - value(VS(\"/V_OUT\") (- min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))))) / (2 * min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\"))))) * (xval(VS(\"/V_OUT\")) + min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))))))) 0.01 1 \"rising\")
#! i_src_lim			((cross(abs((VS(\"/V_OUT\") - (value(VS(\"/V_OUT\") (- min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\"))))) + (((value(VS(\"/V_OUT\") min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))) - value(VS(\"/V_OUT\") (- min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))))) / (2 * min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\"))))) * (xval(VS(\"/V_OUT\")) + min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))))))) 0.01 1 \"rising\") * VAR(\"vfs\")) / VAR(\"rf\"))
#! inl_lsb		0.5	(ymax(abs(clip((VS(\"/V_OUT\") - (value(VS(\"/V_OUT\") (- min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\"))))) + (((value(VS(\"/V_OUT\") min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))) - value(VS(\"/V_OUT\") (- min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))))) / (2 * min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\"))))) * (xval(VS(\"/V_OUT\")) + min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\"))))))) (- min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))) min(0.9 ((8e-06 * VAR(\"rf\")) / VAR(\"vfs\")))))) / 0.002441)
#! ioff			((value(VS(\"/V_OUT\") 0) - VAR(\"V_CM\")) / VAR(\"rf\"))
#! vout_max			ymax(VS(\"/V_OUT\"))
#! vout_min			ymin(VS(\"/V_OUT\"))
#! zt0			value(mag(VF(\"/V_OUT\")) 1)
#! zt_err			((value(mag(VF(\"/V_OUT\")) 1) - VAR(\"rf\")) / VAR(\"rf\"))
#! f3db	1000.0		bandwidth(VF(\"/V_OUT\") 3 \"low\")
#! peaking_db		2.0	dB20((ymax(mag(VF(\"/V_OUT\"))) / value(mag(VF(\"/V_OUT\")) 1)))
#! stb_aol_db	60.0		ymax(dB20(getData(\"loopGain\" ?result \"stb\")))
#! stb_pm	45.0		value(phase(getData(\"loopGain\" ?result \"stb\")) cross(dB20(getData(\"loopGain\" ?result \"stb\")) 0 1 \"falling\"))
#! stb_gm			(- value(dB20(getData(\"loopGain\" ?result \"stb\")) cross(clip(phase(getData(\"loopGain\" ?result \"stb\")) cross(dB20(getData(\"loopGain\" ?result \"stb\")) 0 1 \"falling\") 100000000) 0 1 \"falling\")))
#! stb_fx			cross(dB20(getData(\"loopGain\" ?result \"stb\")) 0 1 \"falling\")
#! vn_out			rmsNoise(0.1 1000.0)
#! fpc_g			cross(clip(phase(getData(\"loopGain\" ?result \"stb\")) cross(dB20(getData(\"loopGain\" ?result \"stb\")) 0 1 \"falling\") 100000000) 0 1 \"falling\")
#! in_rms_1k			(rmsNoise(0.1 1000.0) / VAR(\"rf\"))
#! in_rms_10			(rmsNoise(0.1 10) / VAR(\"rf\"))
#! in_rms_100		2e-09	(rmsNoise(0.1 100) / VAR(\"rf\"))
#! voff	-0.005	0.005	(value(VS(\"/V_OUT\") 0) - VAR(\"V_CM\"))
-0.000325273	5.15742	1.25	0.9	-1.11111e+36	-1.11111e+36	0.0607498	-2.18434e-08	2.48504	0.00170234	559925	-0.000133272	9383.07	0.176997	79.5188	95.1347	-1.11111e+36	12695.7	0.00123334	-1.11111e+36	2.20238e-09	4.57014e-11	2.3961e-10	-0.0122323
-0.000763563	4.51411	1.25	0.9	0.991058	2.21218e-06	0.0770317	-1.79417e-08	2.46773	0.000382213	559695	-0.000544648	4380.19	2.60802	71.5652	46.5842	-1.11111e+36	3185.02	0.00124941	-1.11111e+36	2.23109e-09	4.34671e-11	2.26639e-10	-0.0100474
-0.000337713	3.77888	1.25	0.9	0.99434	2.21951e-06	0.0471183	1.57692e-08	2.49135	0.0111544	559904	-0.00017206	8225.8	0.762415	78.4068	73.558	-1.11111e+36	8253.15	0.00125888	-1.11111e+36	2.24801e-09	4.65284e-11	2.43215e-10	0.00883078
-0.000359508	2.04214	1.25	0.9	-1.11111e+36	-1.11111e+36	0.0504544	-8.27522e-09	2.48963	0.00209817	559885	-0.000205766	7616.05	1.0063	77.207	67.5838	-1.11111e+36	7062.3	0.00121488	-1.11111e+36	2.16943e-09	4.47415e-11	2.3376e-10	-0.00463412
-0.000347934	1.3226	1.25	0.9	-1.11111e+36	-1.11111e+36	0.0912742	-4.99453e-09	2.4928	0.00413008	559930	-0.000125509	9634.97	0.0791364	79.8629	103.179	-1.11111e+36	14816	0.00128785	-1.11111e+36	2.29974e-09	4.76953e-11	2.50403e-10	-0.00279694
-0.000343397	3.7401	1.25	0.9	0.994158	2.2191e-06	0.0416654	1.55742e-08	2.49102	0.0110223	559898	-0.000181881	8084.5	0.781694	78.0762	72.5801	-1.11111e+36	7993.77	0.00121867	-1.11111e+36	2.17619e-09	4.49848e-11	2.35165e-10	0.00872155
-1.19077	1087.16	1.25	0.9	-0.89327	-1.99391e-06	552.57	3.46938e-08	1.28143	-0.289637	508301	-0.0923201	49.856	0	29.2818	89.8355	102.781	46.5029	0.000893362	631187	1.59529e-09	1.14904e-10	5.26259e-10	0.0194285
-0.000357577	5.24431	1.25	0.9	0.991408	2.21296e-06	0.0486628	2.21174e-08	2.49123	0.0143396	559896	-0.000185305	8088.16	0.734118	77.8654	73.3381	-1.11111e+36	8063.72	0.00120804	-1.11111e+36	2.15721e-09	4.46026e-11	2.33126e-10	0.0123857
-0.000423453	2.8978	1.25	0.9	-1.11111e+36	-1.11111e+36	0.044194	-1.18528e-08	2.48405	0.000998479	559840	-0.000284846	6199.24	1.9091	75.7084	54.6714	-1.11111e+36	4979.27	0.00123816	-1.11111e+36	2.21099e-09	4.50092e-11	2.34608e-10	-0.00663756
-0.000321887	2.32682	1.25	0.9	0.997511	2.22659e-06	0.0432712	9.46158e-09	2.49181	0.00818217	559909	-0.000162185	8416.79	0.695504	78.7921	75.5324	-1.11111e+36	8669.68	0.0012296	-1.11111e+36	2.19571e-09	4.54923e-11	2.3776e-10	0.00529848
-0.000371741	7.11217	1.25	0.9	-1.11111e+36	-1.11111e+36	0.0475846	-3.03559e-08	2.4804	0.000459531	559865	-0.000241309	6589.87	1.84915	76.7678	55.9782	-1.11111e+36	5399.27	0.001257	-1.11111e+36	2.24464e-09	4.59347e-11	2.39486e-10	-0.0169993
-0.000424619	0.623769	1.25	0.9	0.997727	2.22707e-06	0.0464149	-1.94334e-09	2.48559	0.00321632	559844	-0.000278318	6427.61	1.65673	75.6651	57.3423	-1.11111e+36	5295.93	0.00122806	-1.11111e+36	2.19297e-09	4.47571e-11	2.33539e-10	-0.00108827
-0.000640318	2.39274	1.25	0.9	0.991692	2.2136e-06	0.0482158	-9.05966e-09	2.4737	0.00108843	559742	-0.000459945	4894.73	2.33139	72.7068	49.163	-1.11111e+36	3658.67	0.00121371	-1.11111e+36	2.16734e-09	4.28971e-11	2.2356e-10	-0.00507341
-0.000337396	1.73754	1.25	0.9	-1.11111e+36	-1.11111e+36	0.0467684	-6.9799e-09	2.49	0.00232621	559894	-0.000189929	7744.87	1.05175	77.834	67.5737	-1.11111e+36	7221.44	0.00125088	-1.11111e+36	2.23371e-09	4.6122e-11	2.40949e-10	-0.00390874
-0.000449831	2.13555	1.25	0.9	0.99885	2.22958e-06	0.0436446	-8.4673e-09	2.48329	0.00139879	559828	-0.000306442	6045.14	1.90651	75.2315	54.2937	-1.11111e+36	4815.91	0.0011992	-1.11111e+36	2.14143e-09	4.34645e-11	2.26536e-10	-0.00474169
-0.000352954	5.55657	1.25	0.9	0.989653	2.20905e-06	0.0392025	2.34765e-08	2.4898	0.0148862	559890	-0.000196917	7716.84	1.00129	77.7343	68.0618	-1.11111e+36	7219.51	0.00123278	-1.11111e+36	2.2014e-09	4.54404e-11	2.37244e-10	0.0131468
