# maestro2tex monte carlo -- test=dac_mc_wpsu samples=200
#@ donominal=no numruns=20 sampling=lds section=castalia_pm_25 seed=12345 temp=25 variations=all
#! v_zs			value(vout 0)
#! v_fs			value(vout 4095)
#! lsb			((v_fs - v_zs) / 4095)
#! inl_min			ymin(inl_wave)
#! inl_lsb			ymax(abs(inl_wave))
#! dnl_max			ymax(dnl_wave)
#! dnl_min	-1.0		ymin(dnl_wave)
#! dnl_lsb			ymax(abs(dnl_wave))
#! n_zs			value(vout_n 0)
#! n_fs			value(vout_n 4095)
#! lsb_n			((n_fs - n_zs) / 4095)
#! inl_n_max			ymax(inl_n_wave)
#! inl_n_min			ymin(inl_n_wave)
#! inl_n_lsb		1.0	ymax(abs(inl_n_wave))
#! dnl_n_max			ymax(dnl_n_wave)
#! dnl_n_min	-1.0		ymin(dnl_n_wave)
#! dnl_n_lsb		0.75	ymax(abs(dnl_n_wave))
#! dnl_n_msb			value(dnl_n_wave 2048)
#! voff_dac			v_zs
#! vfs_dac			v_fs
#! voff_lsb			(n_zs / lsb_n)
#! gain_err			(((n_fs - n_zs) / (4095.0 / 4096.0)) - 1)
#! vddac_max			ymax(vddac_c)
#! vddac_min			ymin(vddac_c)
#! vddac_pp		0.000133	(vddac_max - vddac_min)
#! vddac_droop			(value(vddac_c 0) - vddac_min)
#! code_vdac_min			xmin(vddac_c)
#! inl_from_ref			ymax(abs(vref_err_lsb))
3.60635e-05	2.11722	0.000517016	-35.1532	35.1532	8.24759	-10.2605	10.2605	1.70297e-05	0.999735	0.000244131	0.655199	-1.07004	1.07004	0.142704	-1.48503	1.48503	-1.48503	3.60635e-05	2.11722	0.0697563	-3.83166e-05	2.11778	2.094	0.0237777	0.0236793	1365	34.72
3.92554e-05	2.15204	0.000525519	-39.2003	39.2003	9.10502	-11.2913	11.2913	1.82341e-05	0.999733	0.000244131	1.05406	-1.44482	1.44482	0.839528	-1.84865	1.84865	-1.84865	3.92554e-05	2.15204	0.0746901	-4.12332e-05	2.15285	2.12627	0.0265815	0.0265815	1365	38.403
4.30625e-05	2.1915	0.000535154	-33.8104	33.8104	7.84223	-10.0158	10.0158	1.96516e-05	0.999733	0.00024413	1.51853	-1.77153	1.77153	3.15484	-0.110238	3.15484	3.15484	4.30625e-05	2.1915	0.0804963	-4.24025e-05	2.19208	2.16741	0.0246721	0.023888	1365	33.6673
3.22665e-05	2.07082	0.000505688	-34.381	34.381	8.40993	-10.405	10.405	1.55755e-05	0.999737	0.000244132	0.932551	-1.2363	1.2363	1.90151	-0.0808209	1.90151	1.90151	3.22665e-05	2.07082	0.0637996	-3.41137e-05	2.07161	2.04811	0.0235063	0.0235063	1365	35.3279
5.1616e-05	2.26448	0.000552974	-38.4001	38.4001	9.91557	-12.0332	12.0332	2.2771e-05	0.999728	0.000244128	0.857638	-1.14448	1.14448	0.972684	-1.39878	1.39878	0.669568	5.1616e-05	2.26448	0.0932749	-5.03205e-05	2.26674	2.23666	0.0300814	0.0300814	1365	41.5196
4.05461e-05	2.16526	0.000528748	-38.2763	38.2763	9.08432	-11.1883	11.1883	1.87169e-05	0.999734	0.000244131	0.87519	-1.1983	1.1983	0.134221	-1.62292	1.62292	-0.79026	4.05461e-05	2.16526	0.0766676	-4.0859e-05	2.16628	2.13976	0.0265251	0.0265251	1365	38.1414
3.26208e-05	2.07575	0.000506891	-32.8291	32.8291	7.57289	-9.45227	9.45227	1.57123e-05	0.999736	0.000244132	0.43674	-0.699127	0.699127	0.416711	-0.767521	0.767521	-0.502571	3.26208e-05	2.07575	0.0643598	-3.53238e-05	2.0763	2.05482	0.021482	0.0213125	1365	31.8788
3.60541e-05	2.11604	0.00051673	-37.8885	37.8885	9.62772	-11.7558	11.7558	1.70261e-05	0.999736	0.000244132	1.48929	-1.84328	1.84328	2.69935	-0.81422	2.69935	0.525715	3.60541e-05	2.11604	0.0697416	-3.70131e-05	2.11757	2.0903	0.0272715	0.0272715	1365	40.234
4.34513e-05	2.19451	0.00053589	-39.259	39.259	9.09582	-11.3676	11.3676	1.97952e-05	0.999731	0.00024413	1.21863	-1.51523	1.51523	0.527398	-1.81155	1.81155	-1.6305	4.34513e-05	2.19451	0.0810849	-4.41769e-05	2.1951	2.16769	0.0274147	0.0273484	1365	38.6451
4.14385e-05	2.17532	0.000531204	-34.9123	34.9123	7.95229	-10.05	10.05	1.90493e-05	0.999733	0.00024413	0.904252	-1.28555	1.28555	1.98373	-0.474989	1.98373	1.98373	4.14385e-05	2.17532	0.0780294	-4.18327e-05	2.1759	2.15152	0.0243784	0.0238021	1365	33.8508
