# maestro2tex monte carlo -- test=cab_mc_cell samples=200
#@ donominal=no numruns=19 sampling=lds section=castalia_pm_25 seed=12345 temp=37 variations=all
#! ugf			cross(dB20(getData(\"loopGain\" ?result \"stb\")) 0 1 \"falling\")
#! pm	60.0		value(phase(getData(\"loopGain\" ?result \"stb\")) ugf)
#! fpc			cross(phase(getData(\"loopGain\" ?result \"stb\")) 0 1 \"falling\")
#! aol_db			ymax(dB20(getData(\"loopGain\" ?result \"stb\")))
#! i_tot			abs(IDC(\"/POWER/SRC_VDD25/PLUS\"))
#! i_src_max			ymax(icell)
#! i_sink_max			abs(ymin(icell))
#! ce_hi			ymax(VS(\"/CE\"))
#! ce_lo			ymin(VS(\"/CE\"))
#! head_hi			(VAR(\"VDD25\") - ce_hi)
#! head_lo			ce_lo
#! re_err_max		0.01	ymax(abs(re_err_clipped))
#! re_err_slope		0.05	ymax(abs(re_err_deriv))
#! re_err_slope_at			xmax(abs(re_err_deriv))
#! re_err_0			value(re_err VAR(\"V_CM\"))
#! re_err_p10	-0.001	0.001	value(re_err cross(icell 1e-05 1 \"either\"))
#! re_err_n10	-0.001	0.001	value(re_err cross(icell -1e-05 1 \"either\"))
#! rail_hi			(VAR(\"VDD25\") - ymax(VS(\"/CE\")))
#! rail_lo			ymin(VS(\"/CE\"))
#! vref_lo_meas		0.4	cross(abs(re_err) 0.01 1 \"falling\")
#! vref_hi_meas	2.1		cross(abs(re_err) 0.01 1 \"rising\")
#! vref_range	2.0		(vref_hi_meas - vref_lo_meas)
9937480	81.8443	84625700	72.501	0.000120592	0.000101142	0.000102082	2.4637	0.0250106	0.0363019	0.0250106	0.00556314	0.0136191	0.40025	-0.00461455	-0.0046079	-0.00462636	0.0363019	0.0250106	0.11737	2.37068	2.25331
9233260	82.44	84409400	67.7149	0.000105624	0.000101025	0.000102038	2.46229	0.0255498	0.0377059	0.0255498	0.00456253	0.00576409	0.40025	-0.00429871	-0.00433486	-0.00426866	0.0377059	0.0255498	0.117933	2.36963	2.2517
9785250	81.5545	79933000	72.067	0.000105006	0.0001009	0.000101925	2.4608	0.0268965	0.0391961	0.0268965	0.00144747	0.00165945	0.40025	0.00124343	0.00122756	0.00126049	0.0391961	0.0268965	0.119401	2.36896	2.24956
9419470	82.5933	87771600	71.7178	0.00012597	0.000101095	0.000102179	2.46314	0.0238539	0.036859	0.0238539	0.00168192	0.00616499	0.40025	-0.00141606	-0.00144566	-0.001391	0.036859	0.0238539	0.116338	2.37106	2.25472
12649300	81.0857	98032000	72.6798	0.000144802	0.00010092	0.000101932	2.46104	0.0268139	0.0389622	0.0268139	0.00751788	0.00854808	0.40025	0.00655523	0.0065202	0.00660029	0.0389622	0.0268139	0.121623	2.36934	2.24771
11498500	81.5114	92442900	72.6246	0.000125087	0.000100986	0.000102079	2.46184	0.0250559	0.0381644	0.0250559	0.00237783	0.00659387	0.40025	0.00235079	0.00233659	0.00236369	0.0381644	0.0250559	0.117608	2.36999	2.25238
10384700	81.9551	89264400	72.389	0.000126503	0.000101228	0.000102164	2.46474	0.0240293	0.0352592	0.0240293	0.00266095	0.00310817	0.40025	-0.00255363	-0.00257289	-0.00253366	0.0352592	0.0240293	0.116539	2.37257	2.25603
12680300	81.5088	102272000	73.7273	0.000153111	0.000101068	0.000102125	2.46282	0.0244942	0.0371794	0.0244942	0.0221429	0.0510768	0.40025	-0.0182411	-0.0181671	-0.0183136	0.0371794	0.0244942	0.116819	0.136953	0.0201341
10299900	81.8502	85784600	71.8364	0.00011605	0.000100936	0.000101946	2.46124	0.0266427	0.0387622	0.0266427	0.00172867	0.0132424	0.40025	-0.00162327	-0.00165256	-0.00159027	0.0387622	0.0266427	0.119132	2.36923	2.2501
9541890	82.1833	83862100	72.0299	0.000115228	0.000101034	0.00010196	2.46241	0.0264744	0.0375867	0.0264744	0.00254344	0.00363973	0.40025	0.00245966	0.00243947	0.0024806	0.0375867	0.0264744	0.118956	2.37065	2.2517
