# maestro2tex monte carlo -- test=rp_mc samples=200
#@ donominal=no numruns=200 sampling=lds section=castalia_pm_25 seed=12345 temp=25 variations=mismatch
#! r_mc_0			value(r_mc 0)
#! r_mc_64			value(r_mc 64)
#! r_mc_63			value(r_mc 63)
#! seam_63_64			(r_mc_64 - r_mc_63)
#! r_mc_319			value(r_mc 319)
19654.6	403794	396911	6882.83	1932960
19737.2	403899	396291	7608.1	1932450
19566.4	403647	396893	6754.3	1931860
19723.5	403711	396805	6906.14	1931770
19638.5	404152	396579	7572.26	1932480
19610.1	403661	395860	7800.77	1931030
19814.1	403636	396607	7028.96	1932500
19631.2	404336	396368	7968.04	1932470
19700.2	403354	396757	6596.73	1930840
19667	404277	396184	8093.16	1932240
19559	403960	395750	8210.29	1931940
19569.1	403032	396317	6714.33	1932300
19646.9	404239	396421	7818.23	1932940
19598.5	404041	396768	7272.51	1932600
19675.9	403746	396578	7168.51	1931890
19588.3	403976	396859	7117.29	1934450
19684.8	403080	395946	7133.6	1931000
19578	404043	396006	8036.34	1931550
19646.2	404132	396529	7602.22	1931690
19528.4	403466	396104	7362.35	1931290
19732.4	403812	397075	6736.79	1931830
19640.9	403901	396543	7358.21	1932240
19692.7	403759	396184	7574.45	1931940
19641.4	403838	396702	7136.19	1933520
19678.9	403771	395961	7809.54	1930770
19601	403813	396604	7208.81	1931880
19823.6	403887	396539	7347.95	1932710
19650	403913	396203	7709.54	1932180
19698	404009	396645	7364.08	1932800
19745.5	404040	396628	7412.8	1932620
19544.2	403839	396274	7565.82	1931060
19637.6	404066	396735	7331.15	1931790
19708.3	403572	396949	6622.99	1933550
19663.7	404682	396192	8489.62	1932660
19613.2	403883	396934	6949.14	1932790
19530.1	403539	396624	6915.01	1933130
19703.9	404314	396769	7545.29	1932770
19695.1	403608	396348	7260.03	1931820
19611.2	403858	395583	8274.74	1930100
19844.8	403372	396485	6887.16	1931630
19696.2	403760	396369	7391.22	1932330
19548.1	403896	396200	7695.87	1931500
19711.9	404019	396498	7520.59	1932380
19618.7	403568	396232	7335.71	1931470
19678.5	404616	396317	8298.78	1932500
19792.3	404363	397251	7111.19	1933780
19587.3	403641	396831	6809.43	1931260
19592.3	403060	396122	6938.57	1931510
19654.6	404222	397112	7110.23	1932860
19674.4	404300	396262	8038.79	1932170
19631.2	403547	396464	7083.03	1930720
19607.5	404085	396389	7695.83	1932520
19675.8	403745	396626	7119.03	1932150
19584.8	403205	395965	7240.15	1931170
19778.1	404380	396944	7435.76	1933020
19620.5	403796	396436	7360.58	1932210
19682	403582	396282	7299.98	1931080
19713.8	404251	396719	7531.68	1932920
19499.1	404010	396255	7754.24	1932340
19601.1	403528	396505	7022.83	1932350
19661.4	404193	395959	8234.23	1931290
19703.5	404125	396844	7281.15	1932230
19638	403714	396732	6981.66	1932520
19632.4	404510	396233	8276.87	1932500
19555.4	403465	396393	7072.79	1931950
19666.8	403803	396143	7660.26	1931820
19765	403958	396958	7000.15	1932000
19680.8	404118	396712	7406.22	1932920
19622.2	403769	396668	7101.08	1932690
19718.4	404045	396099	7946.16	1931150
19654.1	403378	396381	6996.54	1931020
19655.4	403935	396577	7357.98	1931780
19755.3	404160	396056	8104.15	1932320
19521.2	403791	396806	6984.24	1932860
19633.9	403342	396105	7237.44	1931270
19666.1	404439	396079	8360.4	1931870
19618.3	403295	396883	6411.85	1932200
19587.1	403304	395759	7544.51	1931750
19769.3	404132	397014	7117.97	1933120
19727.1	403795	396776	7018.54	1932190
