# assembled channel, EIS architecture A, nominal castalia_typ_25 at 37 C
# simruns/eisdeep_20260826/ac_dense via simruns/eisfigs2_20260826/data/fig1_typical_true.dat
x y
100996.1 628.2937
100995 704.95
100993.7 790.9567
100992.1 887.4536
100990.1 995.719
100987.5 1117.186
100984.3 1253.463
100980.2 1406.352
100975.1 1577.872
100968.7 1770.287
100960.5 1986.134
100950.3 2228.251
100937.5 2499.817
100921.3 2804.387
100900.9 3145.933
100875.3 3528.889
100843.1 3958.201
100802.5 4439.371
100751.5 4978.51
100687.4 5582.389
100606.8 6258.478
100505.5 7014.985
100378.2 7860.877
100218.5 8805.871
100018.1 9860.397
99766.98 11035.49
99452.65 12342.62
99059.78 13793.38
98569.62 15399.07
97959.47 17169.99
97202.09 19114.56
96265.28 21238.04
95111.53 23540.88
93698.18 26016.63
91978.13 28649.49
89901.4 31411.48
87417.99 34259.74
84482.15 37134.15
81058.16 39956.32
77127.36 42630.52
72695.68 45047.72
67800.1 47093.06
62512.31 48656.62
56937.86 49646.17
51209.55 49999.56
45475.73 49693.89
39885.33 48748.99
34572.73 47224.41
29645.75 45210.57
25178.64 42816.55
21210.83 40157.26
17750.31 37342.44
14779.97 34468.97
12265.09 31616.56
10160.42 28846.64
8416.102 26203.28
6982.063 23715.42
5810.912 21399.68
4859.633 19263.09
4090.347 17305.62
3470.452 15522.31
2972.372 13904.92
2573.092 12443.25
2253.607 11126.06
1998.35 9941.744
1794.649 8878.82
1632.245 7926.211
1502.864 7073.441
1399.853 6310.737
1317.876 5629.08
1252.663 5020.205
1200.802 4476.589
1159.568 3991.412
1126.791 3558.518
1100.74 3172.36
1080.037 2827.954
1063.586 2520.832
1050.515 2246.988
1040.13 2002.838
1031.879 1785.179
1025.324 1591.146
1020.117 1418.185
1015.98 1264.011
1012.694 1126.588
1010.083 1004.099
1008.01 894.9223
1006.362 797.6135
1005.054 710.8831
1004.014 633.5818
1003.189 564.685
1002.533 503.2794
1002.012 448.5505
1001.598 399.7728
1001.27 356.299
1001.008 317.5527
1000.801 283.0197
1000.636 252.242
1000.505 224.8112
1000.401 200.3634
1000.319 178.5742
1000.253 159.1545
1000.201 141.8467
1000.16 126.4211
1000.127 112.6729
1000.101 100.4199
1000.08 89.49933
1000.064 79.76637
1000.051 71.09187
1000.04 63.3607
1000.032 56.47029
1000.025 50.3292
1000.02 44.85595
1000.016 39.97791
1000.013 35.63035
1000.01 31.83099
1000.01 31.75558
1000.008 28.30219
1000.006 25.22436
1000.005 22.48123
1000.004 20.03642
1000.003 17.85748
1000.003 15.91549
1000.002 14.1847
1000.002 12.64213
1000.001 11.26731
1000.001 10.042
1000.001 8.94994
1000.001 7.976643
1000.001 7.957747
1000.001 7.10919
1000 6.336072
1000 5.64703
1000 5.032921
1000 4.485596
1000 3.997791
1000 3.563035
1000 3.175559
1000 2.83022
1000 2.522436
1000 2.248123
1000 2.003642
1000 1.785748
1000 1.591549
