# assembled channel, EIS record-start sweep, nominal castalia_typ_25 at 37 C, N = 0
# simruns/eisdeep_20260826/settle via simruns/eisfigs2_20260826/data/fig4c_set_c1u_f1k.dat
t excess
0.0000 10.6353
1.0100 4.17267
2.0200 1.56855
3.0300 0.579845
4.0400 0.213009
5.0500 0.078069
6.0600 0.028588
7.0700 0.010465
8.0800 0.003831
