# assembled channel, EIS architecture A, nominal castalia_typ_25 at 37 C
# simruns/eisdeep_20260826/ac_dense via simruns/eisfigs2_20260826/data/fig1_fresh_meas.dat
x y
1000958 6282.87
1000948 7049.42
1000935 7909.478
1000919 8874.44
1000899 9957.078
1000873 11171.77
1000841 12534.47
1000800 14063.37
1000748 15778.49
1000684 17702.69
1000603 19861.11
1000501 22282.21
1000372 24997.89
1000211 28043.56
1000007 31458.95
999750.2 35288.46
999428.2 39581.51
999023.2 44393.17
998512.6 49784.5
997871.9 55823.32
997065.5 62584.1
996052.4 70149.05
994779.2 78607.77
993182.4 88057.74
991178.8 98602.84
988667.3 110353.8
985524.5 123424.5
981595.8 137932.4
976694.5 153988.8
970592.3 171698.3
963019 191143.6
953651.3 212377.9
942113.8 235406.4
927980.7 260163.8
910780.2 286491.5
890013.5 314111.9
865179.7 342593.7
835821.7 371337.4
801582.1 399559.5
762274.8 426301
717958.7 450473.3
669003.1 470927.3
616125.6 486563
560381.7 496458.3
503099.1 499992.8
445759.2 496937.3
389857.8 487486.5
336729.7 472243.3
287461.4 452103.6
242789.9 428165.3
203112.7 401571.5
168507 373424.3
138803.7 344689.7
113654.8 316164.6
92608.01 288466.3
75164.62 262033
60824.05 237154.2
49112.5 213996.6
39599.87 192630.6
31906.91 173056.2
25707.97 155223
20727.06 139049.3
16734.32 124432.6
13539.35 111260.6
10986.79 99417.37
8949.745 88787.93
7325.806 79262.35
6031.917 70734.34
5001.769 63107.24
4182.017 56290.69
3529.893 50202.03
3011.277 44765.86
2598.932 39914.05
2271.158 35585.1
2010.648 31723.54
1803.618 28279.49
1639.109 25208.28
1508.393 22469.8
1404.541 20028.3
1322.036 17851.72
1256.483 15911.38
1204.409 14181.74
1163.04 12639.99
1130.178 11265.74
1104.071 10040.85
1083.347 8949.096
1066.867 7975.968
1053.776 7108.612
1043.389 6335.605
1035.13 5646.595
1028.576 5032.521
1023.363 4485.188
1019.227 3997.374
1015.941 3562.593
1013.325 3175.075
1011.249 2829.695
1009.606 2521.858
1008.295 2247.48
1007.261 2002.925
1006.435 1784.947
1005.776 1590.651
1005.258 1417.465
1004.844 1263.085
1004.517 1125.466
1004.257 1002.782
1004.052 893.4027
1003.888 795.8792
1003.761 708.9166
1003.659 631.3615
1003.581 562.1828
1003.52 500.4637
1003.474 445.3873
1003.441 396.2192
1003.419 352.3096
1003.405 313.8392
1003.405 313.0742
1003.4 277.9944
1003.403 246.6027
1003.415 218.4832
1003.437 193.2641
1003.469 170.609
1003.512 150.2184
1003.57 131.8225
1003.645 115.1755
1003.742 100.0594
1003.864 86.27255
1004.022 73.63353
1004.219 61.97529
1004.223 61.74436
1004.467 51.14507
1004.781 41.00154
1005.176 31.41305
1005.671 22.25706
1006.292 13.41837
1007.072 4.788617
1008.049 -3.734319
1009.27 -12.24623
1010.794 -20.83603
1012.694 -29.58458
1015.055 -38.56222
1017.977 -47.82565
1021.581 -57.41377
1026.003 -67.34045
