# v_re[V]	i_we[uA]
1.734468244	0.4346786785
1.73344511	1.382662451
1.731398614	3.140787778
1.730292509	4.018405502
1.728080063	5.636268799
1.726955744	6.391932899
1.724706893	7.78306679
1.723612351	8.405201908
1.721423093	9.552970489
1.720255786	10.11525749
1.717921002	11.14728001
1.716558704	11.69596216
1.71488965	12.31928042
1.713187813	12.90375597
1.711341342	13.48447248
1.709418471	14.03522809
1.70738987	14.56202653
1.705256837	15.06164056
1.703003906	15.53499123
1.700619007	15.98169827
1.69808515	16.40191185
1.695802699	16.73759489
1.693032128	17.09733953
1.6905408	17.38116788
1.688217243	17.61593045
1.685496019	17.85874163
1.683051418	18.05064733
1.680689726	18.21521595
1.677743714	18.3955576
1.67510297	18.53644218
1.672516909	18.65775063
1.669788031	18.77016457
1.66695474	18.87210929
1.664002244	18.96445142
1.660886745	19.04863967
1.657583297	19.12518996
1.654064756	19.1945199
1.650294103	19.25709585
1.646227844	19.3133204
1.641813174	19.36356719
1.636983215	19.4082138
1.631652141	19.4476498
1.625707594	19.48229227
1.618998608	19.51260842
1.611316425	19.53914527
1.602362337	19.56257392
1.59169064	19.58376117
1.578600574	19.60389436
1.56362182	19.62267715
1.547454021	19.64047497
1.530104802	19.65836062
1.511506811	19.67704128
1.491604969	19.69688896
1.470231785	19.71819848
1.447133962	19.74125738
1.423135249	19.76524107
1.3991365	19.78923805
1.375137714	19.8132403
1.35113889	19.83724428
1.327140027	19.8612489
1.303141125	19.88525406
1.279142182	19.90925994
1.255143198	19.93326673
1.23114417	19.9572746
1.207145098	19.9812837
1.18314598	20.00529415
1.159146814	20.02930607
1.135147598	20.05331959
1.11114833	20.07733484
1.087149008	20.10135195
1.06314963	20.12537105
1.039150192	20.14939229
1.015150693	20.17341581
0.9911511289	20.19744176
0.9671514971	20.2214703
0.9431517942	20.2455016
0.9191520167	20.26953583
0.8951521609	20.29357317
0.8711522228	20.31761384
0.8471521982	20.34165805
0.8231520823	20.36570607
0.7991676786	20.38974237
0.7755498198	20.41341562
0.762488033	20.42651031
0.7494262133	20.43960661
0.7494257655	20.36651489
0.7494254446	20.21130338
0.7494248473	19.9030964
0.7494241309	19.53700497
0.7494227351	18.82528365
0.7494200896	17.47967782
0.749419424	17.1417595
0.7494181308	16.48597032
0.7494156886	15.25000638
0.7494148993	14.8512227
0.7494133823	14.0856342
0.7494105772	12.67284405
0.7494095922	12.1775418
0.749407738	11.24627628
0.7494066264	10.68862806
0.7494045689	9.657619927
0.7494032669	9.005912751
0.7494018754	8.309988519
0.7494006244	7.684793607
0.7493994033	7.07496849
0.7493982463	6.497439758
0.7493971387	5.944886108
0.7493960856	5.419735006
0.7493950851	4.921021696
0.7493941379	4.449078022
0.7493932441	4.003774831
0.7493924035	3.585150931
0.7493917322	3.250894506
0.7493909796	2.876164882
0.7493903899	2.582630779
0.7493898783	2.327969165
0.7493893969	2.088360934
0.749388956	1.868936838
0.7493885545	1.669139205
0.7493881878	1.486627313
0.7493878551	1.321107139
0.7493875563	1.172378834
0.7493872902	1.039982987
0.7493870561	0.9234997028
0.7493868531	0.822485809
0.7493866801	0.7364122541
0.7493865359	0.6646604486
0.749386419	0.6065028193
0.7493863277	0.5610725579
0.7493862599	0.5273296416
0.7493862131	0.5040198021
0.7493861841	0.4896286546
0.7493861695	0.4823426605
0.7493861655	0.4803733287
0.749386166	0.480607241
0.7493861671	0.4811464152
0.7493861678	0.4815032908
0.7493861681	0.4816681676
0.7493861682	0.4817243371
0.7493861683	0.4817354364
0.7493861683	0.4817332514
0.7493861683	0.4817298405
