# v_re[V]	i_we[uA]
0.7493799894	0.4817320299
0.7493861559	0.4762587879
0.749386157	0.4773026785
0.7493861598	0.4775887717
0.749386161	0.4781172652
0.7493861624	0.4788188319
0.7493861636	0.4793880106
0.7499011667	-0.01553748855
0.750398132	-0.4901026311
0.7510824227	-1.12654697
0.7522469373	-2.162312425
0.7545763087	-4.065745337
0.7552318189	-4.562194743
0.7565429358	-5.507771424
0.7572457282	-5.989566127
0.7586514127	-6.904304729
0.7594591255	-7.401538211
0.7610746682	-8.338441297
0.7620053407	-8.844784184
0.7638668222	-9.790359536
0.7649373808	-10.2955968
0.7670786529	-11.22958368
0.7683094018	-11.72282221
0.7697533664	-12.26416628
0.7711422763	-12.74939752
0.7726348298	-13.23482723
0.7741923188	-13.7044588
0.7758434859	-14.16427135
0.7775884268	-14.6109859
0.7794389044	-15.04436689
0.7814035435	-15.46303069
0.7834942467	-15.86604128
0.7857242149	-16.25236034
0.7881093629	-16.62105336
0.7906685818	-16.9712217
0.7929606084	-17.24917819
0.7959481053	-17.56751946
0.7986248915	-17.81544031
0.8012777796	-18.03074328
0.8041546099	-18.2345149
0.8072125267	-18.42178056
0.8104707316	-18.59275707
0.8139898421	-18.74932014
0.8178094901	-18.8915431
0.8219751439	-19.01946223
0.8265504498	-19.13339956
0.8316148362	-19.23370005
0.8372705083	-19.32079698
0.8436545426	-19.39528141
0.8509549802	-19.45792598
0.859437817	-19.5097347
0.8694944783	-19.55202339
0.8817292147	-19.58654384
0.8971332529	-19.61569841
0.9174681903	-19.64295673
0.93998299	-19.66717765
0.9637440077	-19.69068117
0.9877439072	-19.71409853
1.011743728	-19.7376736
1.035743475	-19.76142732
1.059743151	-19.78528569
1.08374276	-19.80918981
1.107742306	-19.83310959
1.13174179	-19.85703354
1.155741217	-19.88095866
1.179740588	-19.90488476
1.203739906	-19.9288122
1.227739174	-19.95274122
1.251738393	-19.97667185
1.275737565	-20.00060402
1.299736691	-20.0245376
1.323735775	-20.04847245
1.347734816	-20.07240843
1.371733815	-20.09634541
1.395732775	-20.12028323
1.419731695	-20.14422178
1.443730577	-20.16816091
1.467618156	-20.1919895
1.490050681	-20.21436696
1.510881459	-20.23514678
1.530331495	-20.2545493
1.548520864	-20.27269423
1.565602791	-20.28973435
1.581747047	-20.30583897
1.597092045	-20.32114616
1.611751804	-20.33576961
1.6258233	-20.34980606
1.639386794	-20.36333556
1.652508636	-20.37642427
1.665244488	-20.38912772
1.677641375	-20.40149279
1.689739306	-20.41355938
1.701572663	-20.42536179
1.713171261	-20.43692972
1.724561157	-20.44828917
1.735765304	-20.459463
1.742541878	-20.46622104
1.749318448	-20.47297892
1.749166826	-20.18250768
1.748865959	-19.59332579
1.748264162	-18.43852492
1.747778625	-17.53146502
1.74680749	-15.78126075
1.744864964	-12.52126713
1.744073536	-11.28180249
1.742490506	-8.944268012
1.741656758	-7.785968047
1.739989074	-5.608029243
1.739100286	-4.519744823
1.737322506	-2.481615987
1.736371158	-1.463459331
