# assembled channel, EIS architecture A, nominal castalia_typ_25 at 37 C
# simruns/eisdeep_20260826/ac_dense via simruns/eisfigs2_20260826/data/fig1_fouled_meas.dat
x y
11002.85 62.82938
11002.75 70.49497
11002.62 79.09568
11002.46 88.74546
11002.25 99.57189
11001.99 111.7186
11001.68 125.3459
11001.27 140.6351
11000.76 157.7873
11000.11 177.0289
10999.3 198.6136
10998.27 222.8256
10996.99 249.982
10995.37 280.4386
10993.34 314.5934
10990.77 352.8888
10987.55 395.8197
10983.49 443.9373
10978.4 497.8509
10971.98 558.2387
10963.92 625.8474
10953.79 701.4982
10941.07 786.0878
10925.09 880.5878
10905.05 986.0406
10879.94 1103.549
10848.5 1234.261
10809.23 1379.337
10760.21 1539.907
10699.19 1716.998
10623.44 1911.449
10529.77 2123.802
10414.4 2354.089
10273.06 2601.657
10101.06 2864.948
9893.381 3141.143
9645.041 3425.972
9351.461 3713.413
9009.059 3995.627
8615.982 4263.054
8172.805 4504.77
7683.256 4709.304
7154.476 4865.658
6597.028 4964.615
6024.199 4999.955
5450.815 4969.393
4891.78 4874.915
4360.5 4722.444
3867.808 4521.065
3421.112 4281.67
3024.334 4015.728
2678.273 3734.251
2381.244 3446.895
2129.759 3161.655
1919.288 2884.663
1744.848 2620.325
1601.449 2371.539
1484.33 2139.962
1389.203 1926.303
1312.277 1730.553
1250.289 1552.223
1200.481 1390.482
1160.551 1244.315
1128.603 1112.593
1103.077 994.161
1082.708 887.8657
1066.467 792.6025
1053.529 707.3246
1043.227 631.051
1035.03 562.8823
1028.509 501.9923
1023.322 447.6269
1019.2 399.1054
1015.921 355.8118
1013.317 317.1912
1011.246 282.7455
1009.602 252.0264
1008.293 224.6356
1007.255 200.213
1006.431 178.4385
1005.775 159.0256
1005.254 141.7183
1004.84 126.2886
1004.511 112.5326
1004.251 100.2681
1004.043 89.33319
1003.879 79.58293
1003.748 70.8881
1003.644 63.13358
1003.562 56.21644
1003.496 50.04519
1003.444 44.53776
1003.403 39.62122
1003.37 35.23047
1003.344 31.30711
1003.323 27.79908
1003.307 24.65999
1003.295 21.84802
1003.284 19.32594
1003.276 17.06044
1003.27 15.02111
1003.266 13.18125
1003.262 11.51627
1003.26 10.00409
1003.259 8.624643
1003.258 7.359657
1003.259 6.192337
1003.26 5.107178
1003.262 4.089802
1003.265 3.126698
1003.269 2.205115
1003.275 1.312803
1003.283 0.4379458
1003.293 -0.4310609
1003.304 -1.287563
1003.305 -1.305708
1003.321 -2.197609
1003.341 -3.118549
1003.365 -4.08066
1003.396 -5.096687
1003.437 -6.180004
1003.487 -7.344807
1003.55 -8.606385
1003.63 -9.981148
1003.729 -11.48692
1003.856 -13.14314
1004.013 -14.9709
1004.212 -16.99337
1004.217 -17.03736
1004.463 -19.23581
1004.777 -21.72555
1005.173 -24.49251
1005.668 -27.56882
1006.291 -30.98901
1007.071 -34.78948
1008.048 -39.00827
1009.27 -43.68426
1010.793 -48.85504
1012.693 -54.55649
1015.054 -60.81853
1017.975 -67.66149
1021.58 -75.09238
1026.002 -83.09648
