# assembled channel, EIS record-start sweep, nominal castalia_typ_25 at 37 C, N = 0
# simruns/eisdeep_20260826/settle via simruns/eisfigs2_20260826/data/fig4c_set_c1u_f10k.dat
t excess
0.0000 2.2789
0.1010 2.06513
0.2020 1.87102
0.3030 1.69483
0.4040 1.53496
0.5050 1.38994
0.6060 1.25844
0.7070 1.13921
0.8080 1.03115
0.9090 0.93323
1.0100 0.844506
1.1110 0.76414
1.2120 0.691345
1.3130 0.625422
1.4140 0.56573
1.5150 0.511686
1.6160 0.462761
1.7170 0.418474
1.8180 0.378389
1.9190 0.342111
2.0200 0.309279
2.1210 0.279569
2.2220 0.252685
2.3230 0.22836
2.4240 0.206351
2.5250 0.186439
2.6260 0.168424
2.7270 0.152126
2.8280 0.137382
2.9290 0.124044
3.0300 0.111979
3.1310 0.101065
3.2320 0.091193
3.3330 0.082263
3.4340 0.074186
3.5350 0.06688
3.6360 0.060272
3.7370 0.054295
3.8380 0.048889
3.9390 0.043999
4.0400 0.039576
4.1410 0.035576
4.2420 0.031959
4.3430 0.028687
4.4440 0.025727
4.5450 0.023051
4.6460 0.02063
4.7470 0.018441
4.8480 0.016461
4.9490 0.01467
5.0500 0.013051
5.1510 0.011586
5.2520 0.010261
5.3530 0.009063
5.4540 0.00798
5.5550 0.007
5.6560 0.006113
5.7570 0.005312
5.8580 0.004587
5.9590 0.003931
6.0600 0.003339
