# assembled channel, EIS Monte Carlo, castalia_pm_25 nominal corner, 37 C, n = 649
# simruns/eisdeep_20260826/mc_report via simruns/eisfigs2_20260826/data/fig2_hist_dc.dat
x n
0.0015 1
0.0017 0
0.0019 9
0.0021 22
0.0023 35
0.0025 62
0.0027 78
0.0029 74
0.0031 96
0.0033 62
0.0035 66
0.0037 49
0.0039 25
0.0041 26
0.0043 17
0.0045 13
0.0047 4
0.0049 5
0.0051 2
0.0053 0
0.0055 2
0.0057 0
0.0059 0
0.0061 1
0.0063 0
0.0065 0
