# assembled channel, EIS architecture A, nominal castalia_typ_25 at 37 C
# simruns/eisdeep_20260826/ac_dense via simruns/eisfigs2_20260826/data/fig1_typical_meas.dat
x y
100999.3 628.2932
100998.2 704.949
100996.9 790.9556
100995.3 887.4525
100993.3 995.7179
100990.7 1117.182
100987.4 1253.458
100983.4 1406.353
100978.2 1577.872
100971.9 1770.283
100963.7 1986.131
100953.5 2228.248
100940.7 2499.81
100924.5 2804.38
100904.1 3145.924
100878.5 3528.886
100846.3 3958.197
100805.8 4439.373
100754.8 4978.506
100690.6 5582.378
100609.9 6258.464
100508.6 7014.969
100381.4 7860.867
100221.6 8805.858
100021.3 9860.38
99770.17 11035.45
99455.9 12342.6
99063 13793.32
98572.83 15399.03
97962.65 17170
97205.32 19114.53
96268.47 21238.02
95114.77 23540.88
93701.43 26016.61
91981.38 28649.45
89904.59 31411.45
87421.24 34259.69
84485.39 37134.11
81061.39 39956.25
77130.6 42630.46
72698.94 45047.66
67803.31 47093.02
62515.55 48656.58
56941.12 49646.13
51212.83 49999.53
45478.92 49694.08
39888.7 48748.87
34575.83 47224.49
29649.12 45210.58
25182 42816.51
21214.05 40157.25
17753.47 37342.42
14783.18 34468.95
12268.32 31616.54
10163.64 28846.61
8419.339 26203.25
6985.291 23715.4
5814.183 21399.67
4862.889 19263.06
4093.607 17305.61
3473.687 15522.3
2975.609 13904.92
2576.334 12443.24
2256.845 11126.05
2001.589 9941.729
1797.899 8878.817
1635.497 7926.215
1506.1 7073.397
1403.098 6310.717
1321.122 5629.06
1255.903 5020.168
1204.047 4476.559
1162.813 3991.381
1130.034 3558.479
1103.984 3172.316
1083.278 2827.906
1066.825 2520.776
1053.757 2246.925
1043.372 2002.768
1035.12 1785.099
1028.565 1591.055
1023.358 1418.084
1019.222 1263.899
1015.936 1126.462
1013.325 1003.958
1011.252 894.7635
1009.605 797.4348
1008.297 710.6828
1007.257 633.3575
1006.432 564.4333
1005.776 502.9961
1005.254 448.2331
1004.841 399.4166
1004.512 355.8996
1004.252 317.1045
1004.044 282.5171
1003.879 251.6776
1003.749 224.1782
1003.646 199.6534
1003.563 177.7773
1003.499 158.2604
1003.446 140.8434
1003.407 125.2952
1003.374 111.4095
1003.349 99.00245
1003.33 87.909
1003.316 77.98208
1003.306 69.08987
1003.298 61.11444
1003.294 53.94991
1003.292 47.50141
1003.294 41.68322
1003.298 36.41807
1003.304 31.63625
1003.314 27.36029
1003.314 27.27435
1003.328 23.27438
1003.346 19.58338
1003.37 16.15242
1003.401 12.9361
1003.44 9.891721
1003.489 6.979137
1003.552 4.159857
1003.632 1.396793
1003.73 -1.346331
1003.856 -4.105316
1004.015 -6.915996
1004.213 -9.814502
1004.218 -9.875383
1004.463 -12.83753
1004.777 -16.02311
1005.172 -19.41021
1005.668 -23.03923
1006.29 -26.95189
1007.071 -31.19146
1008.047 -35.80155
1009.269 -40.82611
1010.794 -46.30797
1012.693 -52.28638
1015.054 -58.79514
1017.976 -65.85828
1021.58 -73.48533
1026.002 -81.66427
