# forward branch, from /home/mseminario2/chips/castalia/simruns/pixtop2_cv/cv_pixtop.dat
# E[V]  i[uA]
-0.500233 0.026914
-0.500233 0.026914
-0.500233 0.026914
-0.496570 0.027221
-0.492295 0.027201
-0.488633 0.027155
-0.484357 0.027154
-0.480081 0.027157
-0.476417 0.027204
-0.472141 0.027153
-0.468515 0.027217
-0.464240 0.027153
-0.460576 0.027157
-0.456302 0.027154
-0.452638 0.027154
-0.448366 0.027222
-0.444091 0.027157
-0.440426 0.027157
-0.436152 0.027155
-0.432488 0.027151
-0.428221 0.027194
-0.424557 0.027151
-0.420283 0.027155
-0.416618 0.027158
-0.412343 0.027156
-0.408071 0.027221
-0.404407 0.027158
-0.400132 0.027154
-0.396467 0.027159
-0.392191 0.027154
-0.388544 0.027156
-0.384268 0.027223
-0.380605 0.027221
-0.376330 0.027156
-0.372054 0.027223
-0.368394 0.027219
-0.364118 0.027156
-0.360455 0.027218
-0.356179 0.027153
-0.352513 0.027162
-0.348246 0.027155
-0.344581 0.027153
-0.340307 0.027156
-0.336642 0.027153
-0.332369 0.027221
-0.328092 0.027223
-0.324428 0.027154
-0.320152 0.027160
-0.316487 0.027152
-0.312285 0.027222
-0.308621 0.027217
-0.304346 0.027166
-0.300683 0.027166
-0.296408 0.027167
-0.292136 0.027209
-0.288472 0.027161
-0.284196 0.027217
-0.280533 0.027170
-0.276258 0.027166
-0.272602 0.027165
-0.268327 0.027162
-0.264662 0.027217
-0.260389 0.027162
-0.256113 0.027155
-0.252452 0.027217
-0.248177 0.027166
-0.244513 0.027164
-0.240237 0.027217
-0.236572 0.027160
-0.232315 0.027181
-0.228651 0.027220
-0.224377 0.027170
-0.220102 0.027166
-0.216437 0.027217
-0.212166 0.027223
-0.208501 0.027219
-0.204227 0.027162
-0.200563 0.027161
-0.196286 0.027219
-0.192630 0.027209
-0.188354 0.027166
-0.184080 0.027154
-0.180415 0.027160
-0.176143 0.027202
-0.172478 0.027216
-0.168202 0.027166
-0.164538 0.027215
-0.160261 0.027165
-0.156631 0.027152
-0.152355 0.027216
-0.148080 0.027155
-0.144417 0.027149
-0.140141 0.027218
-0.136480 0.027151
-0.132205 0.027154
-0.128540 0.027211
-0.124266 0.027220
-0.120601 0.027150
-0.116333 0.027219
-0.112669 0.027147
-0.108393 0.027199
-0.104119 0.027215
-0.100454 0.027145
-0.096181 0.027146
-0.092517 0.027143
-0.088242 0.027213
-0.084576 0.027203
-0.080300 0.027209
-0.076651 0.027137
-0.072376 0.027140
-0.068101 0.027136
-0.064436 0.027193
-0.060160 0.027132
-0.056499 0.027128
-0.052223 0.027121
-0.048559 0.027136
-0.044283 0.027113
-0.040617 0.027166
-0.036349 0.027097
-0.032073 0.027090
-0.028409 0.027141
-0.024133 0.027067
-0.020466 0.027115
-0.016193 0.027038
-0.012528 0.027020
-0.008252 0.027006
-0.004586 0.026976
-0.000620 0.027018
0.003656 0.026919
0.007320 0.026881
0.011593 0.026899
0.015257 0.026792
